director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,combine
Elijah Bynum,Timothée Chalamet,Maika Monroe,Alex Roe,Drama Comedy Crime,hot summer nights,Timothée Chalamet Maika Monroe Alex Roe Elijah Bynum Drama Comedy Crime
Marc Turtletaub,Kelly Macdonald,Irrfan Khan,David Denman,Drama,puzzle,Kelly Macdonald Irrfan Khan David Denman Marc Turtletaub Drama
Ben Young,Michael Peña,Lizzy Caplan,Mike Colter,Science Fiction Action Adventure,extinction,Michael Peña Lizzy Caplan Mike Colter Ben Young Science Fiction Action Adventure
Marc Forster,Ewan McGregor,Hayley Atwell,Jim Cummings,Adventure Comedy Family Fantasy,christopher robin,Ewan McGregor Hayley Atwell Jim Cummings Marc Forster Adventure Comedy Family Fantasy
Jennifer Yuh Nelson,Amandla Stenberg,Mandy Moore,Harris Dickinson,Action Adventure Drama,the darkest minds,Amandla Stenberg Mandy Moore Harris Dickinson Jennifer Yuh Nelson Action Adventure Drama
Susanna Fogel,Mila Kunis,Kate McKinnon,Justin Theroux,Action Comedy,the spy who dumped me,Mila Kunis Kate McKinnon Justin Theroux Susanna Fogel Action Comedy
Desiree Akhavan,Chloë Grace Moretz,Sasha Lane,John Gallagher,Drama,the miseducation of cameron post,Chloë Grace Moretz Sasha Lane John Gallagher Desiree Akhavan Drama
Augustine Frizzell,Maia Mitchell,Camila Morrone,Kyle Mooney,Comedy,never goin' back,Maia Mitchell Camila Morrone Kyle Mooney Augustine Frizzell Comedy
Ken Marino,Nina Dobrev,Finn Wolfhard,Vanessa Hudgens,Romance Comedy,dog days,Nina Dobrev Finn Wolfhard Vanessa Hudgens Ken Marino Romance Comedy
Jon Turteltaub,Jason Statham,Li Bingbing,Rainn Wilson,Action Science Fiction Horror,the meg,Jason Statham Li Bingbing Rainn Wilson Jon Turteltaub Action Science Fiction Horror
Spike Lee,John David Washington,Adam Driver,Laura Harrier,Comedy Crime Drama History,blackkklansman,John David Washington Adam Driver Laura Harrier Spike Lee Comedy Crime Drama History
Sylvain White,Joey King,Julia Goldani Telles,Jaz Sinclair,Horror Mystery Thriller,slender man,Joey King Julia Goldani Telles Jaz Sinclair Sylvain White Horror Mystery Thriller
Jean-Stéphane Sauvaire,Joe Cole,unknown,unknown,Drama Action Crime,a prayer before dawn,Joe Cole unknown unknown Jean-Stéphane Sauvaire Drama Action Crime
Jon M. Chu,Constance Wu,Henry Golding,Gemma Chan,Comedy Drama Romance,crazy rich asians,Constance Wu Henry Golding Gemma Chan Jon M. Chu Comedy Drama Romance
Albert Hughes,Kodi Smit-McPhee,Leonor Varela,Jens Hultén,Adventure Drama,alpha,Kodi Smit-McPhee Leonor Varela Jens Hultén Albert Hughes Adventure Drama
Peter Berg,Mark Wahlberg,John Malkovich,Lauren Cohan,Action Thriller,mile 22,Mark Wahlberg John Malkovich Lauren Cohan Peter Berg Action Thriller
Björn Runge,Glenn Close,Jonathan Pryce,Christian Slater,Drama,the wife,Glenn Close Jonathan Pryce Christian Slater Björn Runge Drama
James Cox,Ansel Elgort,Taron Egerton,Kevin Spacey,Drama Thriller,billionaire boys club,Ansel Elgort Taron Egerton Kevin Spacey James Cox Drama Thriller
Jesse Peretz,Ethan Hawke,Rose Byrne,unknown,Comedy Drama Romance,"juliet, naked",Ethan Hawke Rose Byrne unknown Jesse Peretz Comedy Drama Romance
Rodrigo Cortés,AnnaSophia Robb,Uma Thurman,Isabelle Fuhrman,Thriller Drama Fantasy Horror,down a dark hall,AnnaSophia Robb Uma Thurman Isabelle Fuhrman Rodrigo Cortés Thriller Drama Fantasy Horror
Susan Johnson,Lana Condor,Noah Centineo,Anna Cathcart,Comedy Romance,to all the boys i've loved before,Lana Condor Noah Centineo Anna Cathcart Susan Johnson Comedy Romance
Brian Henson,Melissa McCarthy,Maya Rudolph,Joel McHale,Action Comedy Crime,the happytime murders,Melissa McCarthy Maya Rudolph Joel McHale Brian Henson Action Comedy Crime
Aneesh Chaganty,John Cho,Debra Messing,unknown,Thriller Mystery Drama,searching,John Cho Debra Messing unknown Aneesh Chaganty Thriller Mystery Drama
Michael Noer,Charlie Hunnam,Rami Malek,unknown,Drama History Crime,papillon,Charlie Hunnam Rami Malek unknown Michael Noer Drama History Crime
Oliver Daly,Alex Neustaedter,Becky G,Alex MacNicoll,Science Fiction Action Adventure Family,a.x.l.,Alex Neustaedter Becky G Alex MacNicoll Oliver Daly Science Fiction Action Adventure Family
Chris Weitz,Oscar Isaac,Ben Kingsley,Lior Raz,Drama History Thriller,operation finale,Oscar Isaac Ben Kingsley Lior Raz Chris Weitz Drama History Thriller
"Jonathan Baker, Josh Baker",Myles Truitt,Jack Reynor,Zoë Kravitz,Thriller,kin,"Myles Truitt Jack Reynor Zoë Kravitz Jonathan Baker, Josh Baker Thriller"
Lenny Abrahamson,Domhnall Gleeson,Ruth Wilson,Will Poulter,Mystery Drama Horror History,the little stranger,Domhnall Gleeson Ruth Wilson Will Poulter Lenny Abrahamson Mystery Drama Horror History
Victor Levin,Winona Ryder,Keanu Reeves,unknown,Romance Comedy Drama,destination wedding,Winona Ryder Keanu Reeves unknown Victor Levin Romance Comedy Drama
Corin Hardy,Demián Bichir,Taissa Farmiga,Jonas Bloquet,Horror Mystery Thriller,the nun,Demián Bichir Taissa Farmiga Jonas Bloquet Corin Hardy Horror Mystery Thriller
Pierre Morel,Jennifer Garner,John Ortiz,Juan Pablo Raba,Action Thriller,peppermint,Jennifer Garner John Ortiz Juan Pablo Raba Pierre Morel Action Thriller
Shane Black,Boyd Holbrook,Trevante Rhodes,Jacob Tremblay,Science Fiction Action Adventure,the predator,Boyd Holbrook Trevante Rhodes Jacob Tremblay Shane Black Science Fiction Action Adventure
Yann Demange,Matthew McConaughey,Richie Merritt,Bel Powley,Crime Drama,white boy rick,Matthew McConaughey Richie Merritt Bel Powley Yann Demange Crime Drama
Paul Feig,Anna Kendrick,Blake Lively,Henry Golding,Crime Thriller Mystery Comedy,a simple favor,Anna Kendrick Blake Lively Henry Golding Paul Feig Crime Thriller Mystery Comedy
Richard Eyre,Emma Thompson,Stanley Tucci,Fionn Whitehead,Drama,the children act,Emma Thompson Stanley Tucci Fionn Whitehead Richard Eyre Drama
Craig William Macneill,Chloë Sevigny,Kristen Stewart,Jay Huguley,Crime Drama Thriller,lizzie,Chloë Sevigny Kristen Stewart Jay Huguley Craig William Macneill Crime Drama Thriller
Harold Cronk,Samuel Hunt,Merritt Patterson,Vanessa Bell Calloway,Drama,unbroken: path to redemption,Samuel Hunt Merritt Patterson Vanessa Bell Calloway Harold Cronk Drama
Stephen Cognetti,Vasile Flutur,Jillian Geurts,Joy Shatz,Horror,hell house llc ii: the abaddon hotel,Vasile Flutur Jillian Geurts Joy Shatz Stephen Cognetti Horror
Eli Roth,Jack Black,Cate Blanchett,Owen Vaccaro,Fantasy Family Comedy,the house with a clock in its walls,Jack Black Cate Blanchett Owen Vaccaro Eli Roth Fantasy Family Comedy
Dan Fogelman,Oscar Isaac,Olivia Wilde,Mandy Patinkin,Drama Romance,life itself,Oscar Isaac Olivia Wilde Mandy Patinkin Dan Fogelman Drama Romance
Jacques Audiard,John C. Reilly,Joaquin Phoenix,Jake Gyllenhaal,Western Drama Comedy,the sisters brothers,John C. Reilly Joaquin Phoenix Jake Gyllenhaal Jacques Audiard Western Drama Comedy
Sam Levinson,Odessa Young,Suki Waterhouse,Hari Nef,Thriller Horror Comedy,assassination nation,Odessa Young Suki Waterhouse Hari Nef Sam Levinson Thriller Horror Comedy
Wash Westmoreland,Keira Knightley,Dominic West,unknown,Drama History,colette,Keira Knightley Dominic West unknown Wash Westmoreland Drama History
Michael Moore,unknown,unknown,unknown,Documentary,fahrenheit 11/9,unknown unknown unknown Michael Moore Documentary
Christian Carion,Guillaume Canet,Melanie Laurent,unknown,Thriller Mystery Drama Crime,my son,Guillaume Canet Melanie Laurent unknown Christian Carion Thriller Mystery Drama Crime
Lisa Dapolito,Gilda Radner,unknown,unknown,Documentary,"love, gilda",Gilda Radner unknown unknown Lisa Dapolito Documentary
Kenji Nagasaki,Justin Briner,Christopher R. Sabat,Clifford Chapin,Animation Action Adventure Fantasy,my hero academia: two heroes,Justin Briner Christopher R. Sabat Clifford Chapin Kenji Nagasaki Animation Action Adventure Fantasy
Karey Kirkpatrick,Channing Tatum,James Corden,Zendaya,Family Animation Adventure Fantasy,smallfoot,Channing Tatum James Corden Zendaya Karey Kirkpatrick Family Animation Adventure Fantasy
Malcolm D. Lee,Kevin Hart,Tiffany Haddish,Rob Riggle,Comedy,night school,Kevin Hart Tiffany Haddish Rob Riggle Malcolm D. Lee Comedy
David Lowery,Robert Redford,Casey Affleck,Danny Glover,Comedy Crime Drama,the old man & the gun,Robert Redford Casey Affleck Danny Glover David Lowery Comedy Crime Drama
Gregory Plotkin,Bex Taylor-Klaus,Amy Forsyth,Reign Edwards,Horror,hell fest,Bex Taylor-Klaus Amy Forsyth Reign Edwards Gregory Plotkin Horror
Dave Christiano,Nicholas X. Parsons,Patty Duke,Michael Gross,unknown,power of the air,Nicholas X. Parsons Patty Duke Michael Gross Dave Christiano unknown
Ruben Fleischer,Tom Hardy,Michelle Williams,Riz Ahmed,Science Fiction Action,venom,Tom Hardy Michelle Williams Riz Ahmed Ruben Fleischer Science Fiction Action
Bradley Cooper,Bradley Cooper,Lady Gaga,Sam Elliott,Drama Romance Music,a star is born,Bradley Cooper Lady Gaga Sam Elliott Bradley Cooper Drama Romance Music
George Tillman Jr.,Amandla Stenberg,Regina Hall,Russell Hornsby,Crime Drama,the hate u give,Amandla Stenberg Regina Hall Russell Hornsby George Tillman Jr. Crime Drama
Peter Bogdanovich,unknown,unknown,unknown,Documentary,the great buster: a celebration,unknown unknown unknown Peter Bogdanovich Documentary
Rupert Everett,Rupert Everett,Colin Firth,Colin Morgan,Drama,the happy prince,Rupert Everett Colin Firth Colin Morgan Rupert Everett Drama
Damien Chazelle,Ryan Gosling,Claire Foy,Jason Clarke,History Drama,first man,Ryan Gosling Claire Foy Jason Clarke Damien Chazelle History Drama
Drew Goddard,Jeff Bridges,Cynthia Erivo,Dakota Johnson,Thriller Drama Mystery Crime,bad times at the el royale,Jeff Bridges Cynthia Erivo Dakota Johnson Drew Goddard Thriller Drama Mystery Crime
Ari Sandel,Wendi McLendon-Covey,Madison Iseman,Jeremy Ray Taylor,Adventure Comedy Fantasy Family Horror,goosebumps 2: haunted halloween,Wendi McLendon-Covey Madison Iseman Jeremy Ray Taylor Ari Sandel Adventure Comedy Fantasy Family Horror
Felix van Groeningen,Steve Carell,Timothée Chalamet,Maura Tierney,Drama,beautiful boy,Steve Carell Timothée Chalamet Maura Tierney Felix van Groeningen Drama
Ike Barinholtz,Ike Barinholtz,Tiffany Haddish,Nora Dunn,Comedy,the oath,Ike Barinholtz Tiffany Haddish Nora Dunn Ike Barinholtz Comedy
Nick Searcy,Earl Billings,Dean Cain,Sarah Jane Morris,Drama Crime,gosnell: the trial of america's biggest serial killer,Earl Billings Dean Cain Sarah Jane Morris Nick Searcy Drama Crime
unknown,unknown,unknown,unknown,Comedy Drama Romance,after everything,unknown unknown unknown unknown Comedy Drama Romance
David Gordon Green,Jamie Lee Curtis,Judy Greer,Andi Matichak,Horror Thriller,halloween,Jamie Lee Curtis Judy Greer Andi Matichak David Gordon Green Horror Thriller
Marielle Heller,Melissa McCarthy,Richard E. Grant,unknown,Drama Crime Comedy,can you ever forgive me?,Melissa McCarthy Richard E. Grant unknown Marielle Heller Drama Crime Comedy
Jonah Hill,Sunny Suljic,Lucas Hedges,Katherine Waterston,Drama Comedy,mid90s,Sunny Suljic Lucas Hedges Katherine Waterston Jonah Hill Drama Comedy
Paul Dano,Carey Mulligan,Jake Gyllenhaal,Ed Oxenbould,Drama,wildlife,Carey Mulligan Jake Gyllenhaal Ed Oxenbould Paul Dano Drama
Elizabeth Chomko,Hilary Swank,Michael Shannon,Robert Forster,Drama,what they had,Hilary Swank Michael Shannon Robert Forster Elizabeth Chomko Drama
Donovan Marsh,Gerard Butler,Gary Oldman,Common,Action Thriller,hunter killer,Gerard Butler Gary Oldman Common Donovan Marsh Action Thriller
David Kerr,Rowan Atkinson,Olga Kurylenko,Ben Miller,Action Adventure Comedy,johnny english strikes again,Rowan Atkinson Olga Kurylenko Ben Miller David Kerr Action Adventure Comedy
Luca Guadagnino,Dakota Johnson,Tilda Swinton,Mia Goth,Fantasy Horror Thriller Drama,suspiria,Dakota Johnson Tilda Swinton Mia Goth Luca Guadagnino Fantasy Horror Thriller Drama
David G. Evans,Sarah Drew,Justin Bruening,Jason George,Drama War,indivisible,Sarah Drew Justin Bruening Jason George David G. Evans Drama War
David McCracken,Mike C. Nelson,Jenni Melear,David McCracken,Action Drama Thriller,bullitt county,Mike C. Nelson Jenni Melear David McCracken David McCracken Action Drama Thriller
Bryan Singer,Rami Malek,Lucy Boynton,Gwilym Lee,Music Drama History,bohemian rhapsody,Rami Malek Lucy Boynton Gwilym Lee Bryan Singer Music Drama History
"Lasse Hallström, Joe Johnston",Keira Knightley,Mackenzie Foy,Eugenio Derbez,Fantasy Adventure Family,the nutcracker and the four realms,"Keira Knightley Mackenzie Foy Eugenio Derbez Lasse Hallström, Joe Johnston Fantasy Adventure Family"
Tyler Perry,Tiffany Haddish,Tika Sumpter,Omari Hardwick,Drama Comedy,nobody's fool,Tiffany Haddish Tika Sumpter Omari Hardwick Tyler Perry Drama Comedy
Joel Edgerton,Lucas Hedges,Nicole Kidman,Russell Crowe,Drama,boy erased,Lucas Hedges Nicole Kidman Russell Crowe Joel Edgerton Drama
Matthew Heineman,Rosamund Pike,Jamie Dornan,Stanley Tucci,War Drama,a private war,Rosamund Pike Jamie Dornan Stanley Tucci Matthew Heineman War Drama
Joseph Kahn,Calum Worthy,Jackie Long,Rory Uphold,Drama Comedy Music,bodied,Calum Worthy Jackie Long Rory Uphold Joseph Kahn Drama Comedy Music
Jason Reitman,Hugh Jackman,Vera Farmiga,J. K. Simmons,Drama History,the front runner,Hugh Jackman Vera Farmiga J. K. Simmons Jason Reitman Drama History
"Yarrow Cheney, Scott Mosier",Benedict Cumberbatch,Rashida Jones,Kenan Thompson,Animation Family Comedy Fantasy,the grinch,"Benedict Cumberbatch Rashida Jones Kenan Thompson Yarrow Cheney, Scott Mosier Animation Family Comedy Fantasy"
Fede Álvarez,Claire Foy,Sverrir Gudnason,Lakeith Stanfield,Action Crime Thriller Drama,the girl in the spider's web,Claire Foy Sverrir Gudnason Lakeith Stanfield Fede Álvarez Action Crime Thriller Drama
Julius Avery,Jovan Adepo,Wyatt Russell,Mathilde Ollivier,Horror War Science Fiction,overlord,Jovan Adepo Wyatt Russell Mathilde Ollivier Julius Avery Horror War Science Fiction
unknown,Tim Blake Nelson,Zoe Kazan,Liam Neeson,Western Comedy Drama,the ballad of buster scruggs,Tim Blake Nelson Zoe Kazan Liam Neeson unknown Western Comedy Drama
Daniel Fabelo & Matt Hullum,Gavin Free,Michael Jones,Burnie Burns,Science Fiction Action Adventure Comedy,lazer team 2,Gavin Free Michael Jones Burnie Burns Daniel Fabelo & Matt Hullum Science Fiction Action Adventure Comedy
Josh Webber,Shaun Cairo (Screenplay),Jo Marie Payton,Gary Leroi Gray,Drama Thriller,conundrum: secrets among friends,Shaun Cairo (Screenplay) Jo Marie Payton Gary Leroi Gray Josh Webber Drama Thriller
David Yates,Eddie Redmayne,Katherine Waterston,Dan Fogler,Fantasy Adventure Action,fantastic beasts: the crimes of grindelwald,Eddie Redmayne Katherine Waterston Dan Fogler David Yates Fantasy Adventure Action
Steve McQueen,Viola Davis,Michelle Rodriguez,Elizabeth Debicki,Crime Thriller,widows,Viola Davis Michelle Rodriguez Elizabeth Debicki Steve McQueen Crime Thriller
Sean Anders,Mark Wahlberg,Rose Byrne,Isabela Moner,Comedy,instant family,Mark Wahlberg Rose Byrne Isabela Moner Sean Anders Comedy
"Rich Moore, Phil Johnston",John C. Reilly,Sarah Silverman,Gal Gadot,Family Animation Comedy Adventure,ralph breaks the internet,"John C. Reilly Sarah Silverman Gal Gadot Rich Moore, Phil Johnston Family Animation Comedy Adventure"
Steven Caple Jr.,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Drama,creed ii,Michael B. Jordan Sylvester Stallone Tessa Thompson Steven Caple Jr. Drama
Peter Farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini,Drama Comedy,green book,Viggo Mortensen Mahershala Ali Linda Cardellini Peter Farrelly Drama Comedy
Otto Bathurst,Taron Egerton,Jamie Foxx,Ben Mendelsohn,Action Adventure Drama,robin hood,Taron Egerton Jamie Foxx Ben Mendelsohn Otto Bathurst Action Adventure Drama
Alfonso Cuarón,Yalitza Aparicio,Marina de Tavira,Fernando Grediaga,Drama,roma,Yalitza Aparicio Marina de Tavira Fernando Grediaga Alfonso Cuarón Drama
Yorgos Lanthimos,Olivia Colman,Emma Stone,Rachel Weisz,Drama Comedy Thriller,the favourite,Olivia Colman Emma Stone Rachel Weisz Yorgos Lanthimos Drama Comedy Thriller
Andy Serkis,Rohan Chand,Christian Bale,Cate Blanchett,Adventure Drama,mowgli: legend of the jungle,Rohan Chand Christian Bale Cate Blanchett Andy Serkis Adventure Drama
Diederik van Rooijen,Shay Mitchell,Grey Damon,Kirby Johnson,Horror Drama,the possession of hannah grace,Shay Mitchell Grey Damon Kirby Johnson Diederik van Rooijen Horror Drama
John McPhail,Ella Hunt,Malcolm Cumming,Marli Siu,Horror Comedy Fantasy,anna and the apocalypse,Ella Hunt Malcolm Cumming Marli Siu John McPhail Horror Comedy Fantasy
Nadine Labaki,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Drama,capernaum,Zain Al Rafeea Yordanos Shiferaw Boluwatife Treasure Bankole Nadine Labaki Drama
Josie Rourke,Saoirse Ronan,Margot Robbie,Jack Lowden,Drama History,mary queen of scots,Saoirse Ronan Margot Robbie Jack Lowden Josie Rourke Drama History
Peter Hedges,Lucas Hedges,Julia Roberts,Kathryn Newton,Drama,ben is back,Lucas Hedges Julia Roberts Kathryn Newton Peter Hedges Drama
"Bob Persichetti, Peter Ramsey, Rodney Rothman",Shameik Moore,Jake Johnson,Hailee Steinfeld,Action Adventure Animation Science Fiction,spider-man: into the spider-verse,"Shameik Moore Jake Johnson Hailee Steinfeld Bob Persichetti, Peter Ramsey, Rodney Rothman Action Adventure Animation Science Fiction"
Christian Rivers,Hugo Weaving,Hera Hilmar,Robert Sheehan,Adventure Science Fiction,mortal engines,Hugo Weaving Hera Hilmar Robert Sheehan Christian Rivers Adventure Science Fiction
Clint Eastwood,Clint Eastwood,Bradley Cooper,Laurence Fishburne,Crime Drama Thriller,the mule,Clint Eastwood Bradley Cooper Laurence Fishburne Clint Eastwood Crime Drama Thriller
Barry Jenkins,Kiki Layne,Stephan James,Teyonah Parris,Romance Drama,if beale street could talk,Kiki Layne Stephan James Teyonah Parris Barry Jenkins Romance Drama
Rob Marshall,Emily Blunt,Lin-Manuel Miranda,Ben Whishaw,Fantasy Family Comedy,mary poppins returns,Emily Blunt Lin-Manuel Miranda Ben Whishaw Rob Marshall Fantasy Family Comedy
James Wan,Jason Momoa,Amber Heard,Willem Dafoe,Action Adventure Fantasy,aquaman,Jason Momoa Amber Heard Willem Dafoe James Wan Action Adventure Fantasy
Travis Knight,Hailee Steinfeld,John Cena,Jorge Lendeborg Jr.,Action Adventure Science Fiction,bumblebee,Hailee Steinfeld John Cena Jorge Lendeborg Jr. Travis Knight Action Adventure Science Fiction
Robert Zemeckis,Steve Carell,Leslie Mann,Diane Kruger,Comedy Drama Fantasy,welcome to marwen,Steve Carell Leslie Mann Diane Kruger Robert Zemeckis Comedy Drama Fantasy
Peter Segal,Jennifer Lopez,Leah Remini,Vanessa Hudgens,Romance Comedy,second act,Jennifer Lopez Leah Remini Vanessa Hudgens Peter Segal Romance Comedy
Paweł Pawlikowski,Joanna Kulig,Tomasz Kot,Agata Kulesza,Comedy Romance,cold war,Joanna Kulig Tomasz Kot Agata Kulesza Paweł Pawlikowski Comedy Romance
Etan Cohen,Will Ferrell,John C. Reilly,Rebecca Hall,Mystery Adventure Comedy Crime,holmes & watson,Will Ferrell John C. Reilly Rebecca Hall Etan Cohen Mystery Adventure Comedy Crime
